workload,m,n,k,num_chiplets,link_bw,best_strategy,speedup,efficiency,compute_cycles,distribute_cycles,reduce_cycles,total_cycles,baseline_cycles,compute_fraction,comm_fraction
resnet50_conv1,12544,64,147,1,16,single,1.0,1.0,39298,0,0,39298,39298,1.0,0.0
resnet50_conv1,12544,64,147,2,16,split_m,1.8861531077513798,0.9430765538756899,19649,1186,0,20835,39298,0.9430765538756899,0.05692344612431006
resnet50_conv1,12544,64,147,3,16,split_m,2.723542865063414,0.9078476216878046,13233,1196,0,14429,39298,0.9171113729295169,0.08288862707048306
resnet50_conv1,12544,64,147,4,16,split_m,3.4990650877036775,0.8747662719259194,10025,1206,0,11231,39298,0.8926186448223666,0.10738135517763334
resnet50_conv1,12544,64,147,5,16,split_m,4.25487223906453,0.850974447812906,8020,1216,0,9236,39298,0.8683412732784755,0.13165872672152448
resnet50_conv1,12544,64,147,6,16,split_m,4.885987815491732,0.8143313025819553,6817,1226,0,8043,39298,0.8475693149322392,0.15243068506776078
resnet50_conv1,12544,64,147,7,16,split_m,5.736934306569343,0.8195620437956205,5614,1236,0,6850,39298,0.8195620437956205,0.18043795620437955
resnet50_conv1,12544,64,147,8,16,split_m,6.084223564019198,0.7605279455023998,5213,1246,0,6459,39298,0.8070908809413222,0.1929091190586778
resnet50_conv1,12544,64,147,1,64,single,1.0,1.0,39298,0,0,39298,39298,1.0,0.0
resnet50_conv1,12544,64,147,2,64,split_m,1.9695283917205433,0.9847641958602716,19649,304,0,19953,39298,0.9847641958602716,0.015235804139728361
resnet50_conv1,12544,64,147,3,64,split_m,2.9008636598508897,0.9669545532836299,13233,314,0,13547,39298,0.9768214364804015,0.023178563519598436
resnet50_conv1,12544,64,147,4,64,split_m,3.797275099043386,0.9493187747608465,10025,324,0,10349,39298,0.9686926273069861,0.03130737269301382
resnet50_conv1,12544,64,147,5,64,split_m,4.7040938472587985,0.9408187694517597,8020,334,0,8354,39298,0.9600191525017956,0.03998084749820445
resnet50_conv1,12544,64,147,6,64,split_m,5.4877810361681325,0.9146301726946887,6817,344,0,7161,39298,0.9519620164781455,0.04803798352185449
resnet50_conv1,12544,64,147,7,64,split_m,6.584785522788204,0.9406836461126006,5614,354,0,5968,39298,0.9406836461126006,0.05931635388739946
resnet50_conv1,12544,64,147,8,64,split_m,7.046440738748431,0.8808050923435539,5213,364,0,5577,39298,0.9347319347319347,0.06526806526806526
resnet50_conv1,12544,64,147,1,256,single,1.0,1.0,39298,0,0,39298,39298,1.0,0.0
resnet50_conv1,12544,64,147,2,256,split_m,1.9914863426747074,0.9957431713373537,19649,84,0,19733,39298,0.9957431713373537,0.004256828662646328
resnet50_conv1,12544,64,147,3,256,split_m,2.948750656561867,0.9829168855206224,13233,94,0,13327,39298,0.9929466496585878,0.007053350341412171
resnet50_conv1,12544,64,147,4,256,split_m,3.879751209398756,0.969937802349689,10025,104,0,10129,39298,0.9897324513772336,0.010267548622766314
resnet50_conv1,12544,64,147,5,256,split_m,4.831325301204819,0.9662650602409638,8020,114,0,8134,39298,0.9859847553479223,0.014015244652077699
resnet50_conv1,12544,64,147,6,256,split_m,5.66172021322576,0.9436200355376266,6817,124,0,6941,39298,0.9821351390289583,0.017864860971041636
resnet50_conv1,12544,64,147,7,256,split_m,6.836812804453723,0.976687543493389,5614,134,0,5748,39298,0.976687543493389,0.023312456506610995
resnet50_conv1,12544,64,147,8,256,split_m,7.335822288594363,0.9169777860742954,5213,144,0,5357,39298,0.9731192831808848,0.026880716819115177
resnet50_conv3,3136,256,576,1,16,single,1.0,1.0,41500,0,0,41500,41500,1.0,0.0
resnet50_conv3,3136,256,576,2,16,split_m,1.036929688671231,0.5184648443356155,21580,18442,0,40022,41500,0.53920343810904,0.46079656189095997
resnet50_conv3,3136,256,576,3,16,split_m,1.2428126497364638,0.41427088324548794,14940,18452,0,33392,41500,0.44741255390512696,0.552587446094873
resnet50_conv3,3136,256,576,4,16,split_m,1.3795625290871618,0.34489063227179045,11620,18462,0,30082,41500,0.3862775081444053,0.6137224918555947
resnet50_conv3,3136,256,576,5,16,split_m,1.5501269983564918,0.3100253996712984,8300,18472,0,26772,41500,0.3100253996712984,0.6899746003287016
resnet50_conv3,3136,256,576,6,16,split_m,1.5495482040176238,0.2582580340029373,8300,18482,0,26782,41500,0.30990964080352473,0.6900903591964752
resnet50_conv3,3136,256,576,7,16,split_m,1.651281235078784,0.23589731929696914,6640,18492,0,25132,41500,0.26420499761260546,0.7357950023873946
resnet50_conv3,3136,256,576,8,16,split_m,1.6506244531063559,0.20632805663829448,6640,18502,0,25142,41500,0.2640999124970169,0.7359000875029831
resnet50_conv3,3136,256,576,1,64,single,1.0,1.0,41500,0,0,41500,41500,1.0,0.0
resnet50_conv3,3136,256,576,2,64,split_m,1.5840903885792808,0.7920451942896404,21580,4618,0,26198,41500,0.8237270020612261,0.17627299793877396
resnet50_conv3,3136,256,576,3,64,split_m,2.1208094848732624,0.7069364949577541,14940,4628,0,19568,41500,0.7634914145543745,0.2365085854456255
resnet50_conv3,3136,256,576,4,64,split_m,2.5525894944027554,0.6381473736006888,11620,4638,0,16258,41500,0.7147250584327716,0.28527494156722843
resnet50_conv3,3136,256,576,5,64,split_m,3.2051282051282053,0.6410256410256411,8300,4648,0,12948,41500,0.6410256410256411,0.358974358974359
resnet50_conv3,3136,256,576,6,64,split_m,3.202654730668313,0.5337757884447188,8300,4658,0,12958,41500,0.6405309461336626,0.3594690538663374
resnet50_conv3,3136,256,576,7,64,split_m,3.669968164131588,0.5242811663045126,6640,4668,0,11308,41500,0.5871949062610541,0.41280509373894586
resnet50_conv3,3136,256,576,8,64,split_m,3.6667255698886727,0.4583406962360841,6640,4678,0,11318,41500,0.5866760911821877,0.41332390881781234
resnet50_conv3,3136,256,576,1,256,single,1.0,1.0,41500,0,0,41500,41500,1.0,0.0
resnet50_conv3,3136,256,576,2,256,split_m,1.8248175182481752,0.9124087591240876,21580,1162,0,22742,41500,0.948905109489051,0.051094890510948905
resnet50_conv3,3136,256,576,3,256,split_m,2.575719960278054,0.8585733200926846,14940,1172,0,16112,41500,0.9272591857000994,0.07274081429990069
resnet50_conv3,3136,256,576,4,256,split_m,3.241680987345727,0.8104202468364318,11620,1182,0,12802,41500,0.9076706764568037,0.09232932354319638
resnet50_conv3,3136,256,576,5,256,split_m,4.372102823430257,0.8744205646860514,8300,1192,0,9492,41500,0.8744205646860514,0.12557943531394858
resnet50_conv3,3136,256,576,6,256,split_m,4.367501578615029,0.7279169297691714,8300,1202,0,9502,41500,0.8735003157230057,0.12649968427699432
resnet50_conv3,3136,256,576,7,256,split_m,5.285277636271013,0.7550396623244305,6640,1212,0,7852,41500,0.8456444218033622,0.1543555781966378
resnet50_conv3,3136,256,576,8,256,split_m,5.278555075044518,0.6598193843805648,6640,1222,0,7862,41500,0.8445688120071229,0.15543118799287714
resnet50_conv5,49,512,4608,1,16,single,1.0,1.0,19448,0,0,19448,19448,1.0,0.0
resnet50_conv5,49,512,4608,2,16,split_n,0.5123557616312767,0.25617788081563836,9724,28234,0,37958,19448,0.25617788081563836,0.7438221191843617
resnet50_conv5,49,512,4608,3,16,split_n,0.512220817530552,0.170740272510184,9724,28244,0,37968,19448,0.256110408765276,0.743889591234724
resnet50_conv5,49,512,4608,4,16,split_n,0.5872689938398358,0.14681724845995894,4862,28254,0,33116,19448,0.14681724845995894,0.8531827515400411
resnet50_conv5,49,512,4608,5,16,split_n,0.5870917104389302,0.11741834208778604,4862,28264,0,33126,19448,0.14677292760973254,0.8532270723902675
resnet50_conv5,49,512,4608,6,16,split_n,0.5869145340415258,0.09781908900692098,4862,28274,0,33136,19448,0.14672863351038146,0.8532713664896185
resnet50_conv5,49,512,4608,7,16,split_n,0.5867374645507754,0.0838196377929679,4862,28284,0,33146,19448,0.14668436613769384,0.8533156338623061
resnet50_conv5,49,512,4608,8,16,split_n,0.5865605018699481,0.07332006273374352,4862,28294,0,33156,19448,0.14664012546748703,0.8533598745325129
resnet50_conv5,49,512,4608,1,64,single,1.0,1.0,19448,0,0,19448,19448,1.0,0.0
resnet50_conv5,49,512,4608,2,64,split_n,1.1583085169743894,0.5791542584871947,9724,7066,0,16790,19448,0.5791542584871947,0.42084574151280524
resnet50_conv5,49,512,4608,3,64,split_n,1.1576190476190475,0.38587301587301587,9724,7076,0,16800,19448,0.5788095238095238,0.42119047619047617
resnet50_conv5,49,512,4608,4,64,split_n,1.6277201205222631,0.4069300301305658,4862,7086,0,11948,19448,0.4069300301305658,0.5930699698694342
resnet50_conv5,49,512,4608,5,64,split_n,1.6263589228968054,0.32527178457936107,4862,7096,0,11958,19448,0.40658973072420135,0.5934102692757987
resnet50_conv5,49,512,4608,6,64,split_n,1.625,0.2708333333333333,4862,7106,0,11968,19448,0.40625,0.59375
resnet50_conv5,49,512,4608,7,64,split_n,1.62364334613458,0.23194904944779715,4862,7116,0,11978,19448,0.405910836533645,0.594089163466355
resnet50_conv5,49,512,4608,8,64,split_n,1.622288955622289,0.20278611945278613,4862,7126,0,11988,19448,0.40557223890557226,0.5944277610944277
resnet50_conv5,49,512,4608,1,256,single,1.0,1.0,19448,0,0,19448,19448,1.0,0.0
resnet50_conv5,49,512,4608,2,256,split_n,1.6914245955818403,0.8457122977909202,9724,1774,0,11498,19448,0.8457122977909202,0.15428770220907984
resnet50_conv5,49,512,4608,3,256,split_n,1.6899548140424052,0.5633182713474684,9724,1784,0,11508,19448,0.8449774070212026,0.15502259297879736
resnet50_conv5,49,512,4608,4,256,split_n,2.921875,0.73046875,4862,1794,0,6656,19448,0.73046875,0.26953125
resnet50_conv5,49,512,4608,5,256,split_n,2.9174917491749173,0.5834983498349835,4862,1804,0,6666,19448,0.7293729372937293,0.2706270627062706
resnet50_conv5,49,512,4608,6,256,split_n,2.913121629718394,0.4855202716197324,4862,1814,0,6676,19448,0.7282804074295985,0.27171959257040146
resnet50_conv5,49,512,4608,7,256,split_n,2.9087645827101407,0.4155377975300201,4862,1824,0,6686,19448,0.7271911456775352,0.2728088543224649
resnet50_conv5,49,512,4608,8,256,split_n,2.90442054958184,0.36305256869773,4862,1834,0,6696,19448,0.72610513739546,0.27389486260454005
bert_qk_seq2048,2048,2048,64,1,16,single,1.0,1.0,81408,0,0,81408,81408,1.0,0.0
bert_qk_seq2048,2048,2048,64,2,16,split_m,1.425759220988476,0.712879610494238,40704,16394,0,57098,81408,0.712879610494238,0.287120389505762
bert_qk_seq2048,2048,2048,64,3,16,split_m,1.7345947328049092,0.578198244268303,30528,16404,0,46932,81408,0.650473024801841,0.34952697519815906
bert_qk_seq2048,2048,2048,64,4,16,split_mn,2.849023587877091,0.7122558969692727,20352,8222,0,28574,81408,0.7122558969692727,0.2877441030307272
bert_qk_seq2048,2048,2048,64,5,16,split_mn,3.4647599591419818,0.6929519918283964,15264,8232,0,23496,81408,0.6496424923391215,0.3503575076608784
bert_qk_seq2048,2048,2048,64,6,16,split_mn,3.463285969539692,0.5772143282566153,15264,8242,0,23506,81408,0.6493661192886923,0.35063388071130774
bert_qk_seq2048,2048,2048,64,7,16,split_mn,4.417625352724116,0.6310893361034451,10176,8252,0,18428,81408,0.5522031690905145,0.4477968309094856
bert_qk_seq2048,2048,2048,64,8,16,split_mn,4.415229417507322,0.5519036771884153,10176,8262,0,18438,81408,0.5519036771884153,0.4480963228115848
bert_qk_seq2048,2048,2048,64,1,64,single,1.0,1.0,81408,0,0,81408,81408,1.0,0.0
bert_qk_seq2048,2048,2048,64,2,64,split_m,1.8167373354162017,0.9083686677081009,40704,4106,0,44810,81408,0.9083686677081009,0.09163133229189913
bert_qk_seq2048,2048,2048,64,3,64,split_m,2.3498441288534813,0.7832813762844938,30528,4116,0,34644,81408,0.8811915483200554,0.11880845167994458
bert_qk_seq2048,2048,2048,64,4,64,split_mn,3.6294248773963442,0.9073562193490861,20352,2078,0,22430,81408,0.9073562193490861,0.09264378065091396
bert_qk_seq2048,2048,2048,64,5,64,split_mn,4.691562932226833,0.9383125864453665,15264,2088,0,17352,81408,0.8796680497925311,0.12033195020746888
bert_qk_seq2048,2048,2048,64,6,64,split_mn,4.688860730330607,0.7814767883884345,15264,2098,0,17362,81408,0.8791613869369889,0.12083861306301118
bert_qk_seq2048,2048,2048,64,7,64,split_mn,6.627157277759688,0.9467367539656697,10176,2108,0,12284,81408,0.828394659719961,0.17160534028003907
bert_qk_seq2048,2048,2048,64,8,64,split_mn,6.621766715470962,0.8277208394338702,10176,2118,0,12294,81408,0.8277208394338702,0.17227916056612982
bert_qk_seq2048,2048,2048,64,1,256,single,1.0,1.0,81408,0,0,81408,81408,1.0,0.0
bert_qk_seq2048,2048,2048,64,2,256,split_m,1.950452824764004,0.975226412382002,40704,1034,0,41738,81408,0.975226412382002,0.024773587617997986
bert_qk_seq2048,2048,2048,64,3,256,split_m,2.5784872671987835,0.8594957557329278,30528,1044,0,31572,81408,0.9669327251995439,0.0330672748004561
bert_qk_seq2048,2048,2048,64,4,256,split_mn,3.896238154494113,0.9740595386235282,20352,542,0,20894,81408,0.9740595386235282,0.025940461376471713
bert_qk_seq2048,2048,2048,64,5,256,split_mn,5.147192716236722,1.0294385432473443,15264,552,0,15816,81408,0.9650986342943855,0.03490136570561457
bert_qk_seq2048,2048,2048,64,6,256,split_mn,5.1439403513206114,0.8573233918867685,15264,562,0,15826,81408,0.9644888158726147,0.03551118412738532
bert_qk_seq2048,2048,2048,64,7,256,split_mn,7.574246371417939,1.0820351959168484,10176,572,0,10748,81408,0.9467807964272423,0.05321920357275772
bert_qk_seq2048,2048,2048,64,8,256,split_mn,7.5672058003346345,0.9459007250418293,10176,582,0,10758,81408,0.9459007250418293,0.054099274958170664
bert_qkv_proj_seq2048,2048,768,768,1,16,single,1.0,1.0,98112,0,0,98112,98112,1.0,0.0
bert_qkv_proj_seq2048,2048,768,768,2,16,split_m,0.7989966936495269,0.39949834682476343,49056,73738,0,122794,98112,0.39949834682476343,0.6005016531752366
bert_qkv_proj_seq2048,2048,768,768,3,16,split_m,0.8875701103672878,0.2958567034557626,36792,73748,0,110540,98112,0.3328387913877329,0.667161208612267
bert_qkv_proj_seq2048,2048,768,768,4,16,split_m,0.9982296563091386,0.24955741407728466,24528,73758,0,98286,98112,0.24955741407728466,0.7504425859227153
bert_qkv_proj_seq2048,2048,768,768,5,16,split_m,0.9981281028729552,0.19962562057459105,24528,73768,0,98296,98112,0.2495320257182388,0.7504679742817613
bert_qkv_proj_seq2048,2048,768,768,6,16,split_m,1.064421637338078,0.177403606223013,18396,73778,0,92174,98112,0.19957905700088963,0.8004209429991104
bert_qkv_proj_seq2048,2048,768,768,7,16,split_m,1.0643061702681593,0.15204373860973705,18396,73788,0,92184,98112,0.19955740692527987,0.8004425930747201
bert_qkv_proj_seq2048,2048,768,768,8,16,split_m,1.1400153377797402,0.14250191722246752,12264,73798,0,86062,98112,0.14250191722246752,0.8574980827775325
bert_qkv_proj_seq2048,2048,768,768,1,64,single,1.0,1.0,98112,0,0,98112,98112,1.0,0.0
bert_qkv_proj_seq2048,2048,768,768,2,64,split_m,1.4535541793830928,0.7267770896915464,49056,18442,0,67498,98112,0.7267770896915464,0.2732229103084536
bert_qkv_proj_seq2048,2048,768,768,3,64,split_m,1.775975671566143,0.5919918905220477,36792,18452,0,55244,98112,0.6659908768373036,0.3340091231626964
bert_qkv_proj_seq2048,2048,768,768,4,64,split_m,2.282205163991626,0.5705512909979065,24528,18462,0,42990,98112,0.5705512909979065,0.42944870900209353
bert_qkv_proj_seq2048,2048,768,768,5,64,split_mn,2.3948447568834212,0.47896895137668427,16352,24616,0,40968,98112,0.3991407928139035,0.6008592071860964
bert_qkv_proj_seq2048,2048,768,768,6,64,split_m,2.6604479635555074,0.4434079939259179,18396,18482,0,36878,98112,0.4988339931666576,0.5011660068333423
bert_qkv_proj_seq2048,2048,768,768,7,64,split_m,2.659726740403383,0.379960962914769,18396,18492,0,36888,98112,0.49869876382563433,0.5013012361743656
bert_qkv_proj_seq2048,2048,768,768,8,64,split_m,3.188974842358448,0.398621855294806,12264,18502,0,30766,98112,0.398621855294806,0.601378144705194
bert_qkv_proj_seq2048,2048,768,768,1,256,single,1.0,1.0,98112,0,0,98112,98112,1.0,0.0
bert_qkv_proj_seq2048,2048,768,768,2,256,split_m,1.8279241345903043,0.9139620672951522,49056,4618,0,53674,98112,0.9139620672951522,0.08603793270484779
bert_qkv_proj_seq2048,2048,768,768,3,256,split_m,2.3687107677450507,0.789570255915017,36792,4628,0,41420,98112,0.888266537904394,0.11173346209560599
bert_qkv_proj_seq2048,2048,768,768,4,256,split_m,3.3639168895289036,0.8409792223822259,24528,4638,0,29166,98112,0.8409792223822259,0.1590207776177741
bert_qkv_proj_seq2048,2048,768,768,5,256,split_mn,4.35356762513312,0.870713525026624,16352,6184,0,22536,98112,0.7255946041888534,0.2744053958111466
bert_qkv_proj_seq2048,2048,768,768,6,256,split_mn,4.35163665395192,0.7252727756586533,16352,6194,0,22546,98112,0.7252727756586534,0.27472722434134655
bert_qkv_proj_seq2048,2048,768,768,7,256,split_mn,4.349707394928179,0.6213867707040255,16352,6204,0,22556,98112,0.7249512324880298,0.2750487675119702
bert_qkv_proj_seq2048,2048,768,768,8,256,split_m,5.791051823869673,0.7238814779837092,12264,4678,0,16942,98112,0.7238814779837092,0.2761185220162909
